Freq (Hz), Test Phi (deg), Test Theta (deg), Probe Phi (deg), S11 (db), S11 (deg), S12 (db), S12 (deg), S21 (db), S21 (deg), S22 (db), S22 (deg)
5.675000000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-6.700194999999999901e+00,-6.206640000000000157e+01,-1.359326000000000079e+01,1.045975999999999999e+02,-1.257520000000000060e+01,9.004296999999999684e+01,-8.436522999999999328e+00,4.950780999999999921e+01
5.687300000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-6.321044999999999803e+00,-1.050819999999999936e+02,-1.457128999999999941e+01,3.584765000000000157e+01,-1.366699000000000019e+01,2.063183000000000078e+01,-6.511230000000000295e+00,-3.605664000000000158e+01
5.699600000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.964355000000000295e+00,-1.457187000000000126e+02,-1.548877000000000059e+01,-2.952440999999999960e+01,-1.485059000000000040e+01,-4.459179999999999922e+01,-6.868164000000000158e+00,-1.165391000000000048e+02
5.711900000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.684814000000000256e+00,1.770234000000000094e+02,-1.571288999999999980e+01,-9.260545999999999367e+01,-1.529395000000000060e+01,-1.061718999999999937e+02,-7.853515999999999941e+00,1.553359000000000094e+02
5.724200000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.478271000000000335e+00,1.420781000000000063e+02,-1.537060999999999922e+01,-1.595546999999999969e+02,-1.492333999999999961e+01,-1.717187000000000126e+02,-7.591064000000000256e+00,5.582616999999999763e+01
5.736500000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.221680000000000099e+00,1.073555000000000064e+02,-1.550488000000000000e+01,1.302109000000000094e+02,-1.514600000000000080e+01,1.191367000000000047e+02,-7.299316000000000138e+00,-4.224804999999999922e+01
5.748800000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.149414000000000158e+00,7.006640000000000157e+01,-1.583496000000000059e+01,6.233592999999999762e+01,-1.523583999999999961e+01,5.290039000000000158e+01,-7.935058999999999862e+00,-1.350625000000000000e+02
5.761100000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.478026999999999980e+00,3.070214999999999961e+01,-1.574365000000000059e+01,-6.795166000000000039e+00,-1.493018000000000001e+01,-1.729004000000000119e+01,-7.959960999999999842e+00,1.250000000000000000e+02
5.773400000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-6.020751999999999882e+00,-9.956542999999999921e+00,-1.632323999999999842e+01,-7.844531000000000631e+01,-1.559911999999999921e+01,-8.943750000000000000e+01,-7.344726999999999784e+00,2.240039000000000158e+01
5.785700000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-6.321044999999999803e+00,-5.065820000000000078e+01,-1.702637000000000000e+01,-1.434296999999999969e+02,-1.646582000000000079e+01,-1.547343999999999937e+02,-7.631348000000000020e+00,-6.866405000000000314e+01
5.798000000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-6.196289000000000158e+00,-9.026170999999999367e+01,-1.668262000000000000e+01,1.505390999999999906e+02,-1.631347999999999843e+01,1.397890999999999906e+02,-7.868896000000000335e+00,-1.635703000000000031e+02
5.810300000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.644775000000000098e+00,-1.285078000000000031e+02,-1.683202999999999960e+01,7.761718999999999369e+01,-1.636914000000000158e+01,6.912108999999999526e+01,-7.838378999999999763e+00,8.797266000000000474e+01
5.822600000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-4.985351999999999784e+00,-1.676406000000000063e+02,-1.767870999999999881e+01,9.949218999999999369e+00,-1.700488000000000000e+01,8.734131000000000533e-01,-7.358398000000000216e+00,-8.334960999999999842e+00
5.834900000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-4.883544999999999803e+00,1.541640999999999906e+02,-1.760448999999999842e+01,-5.545116000000000156e+01,-1.728027000000000157e+01,-6.548828000000000316e+01,-6.937255999999999645e+00,-9.398045999999999367e+01
